Designator,Val,Package,Mid X,Mid Y,Rotation,Placement
BZ1,Buzzer,Buzzer_12x9.5RM7.6,81.670962,38.862027,0.000000,top
C1,10uF,C_1206_3216Metric,93.430962,66.606227,0.000000,top
C2,10uF,C_1206_3216Metric,101.016862,66.606227,180.000000,top
C3,100nF,C_0603_1608Metric,104.139962,50.546027,0.000000,top
J1,DB25_Female,DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,59.373362,57.162027,-90.000000,top
J2,PS/2 connector,Connector_Mini-DIN_Female_6Pin_2rows,119.092162,59.219827,90.000000,top
J3,DB25_Male,DSUB-25_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,71.820462,24.054227,0.000000,top
J4,XT/AT connector,DIN-5,119.100162,37.804227,90.000000,top
J5,Terminal connector,DIN-6,119.153762,77.778527,90.000000,top
J6,Terminal connector (RJ45),RJ45_Ninigi_GE,113.335962,94.488027,90.000000,top
R1,2K,R_0603_1608Metric,107.187962,61.087027,90.000000,top
R2,2K,R_0603_1608Metric,103.682762,61.087027,90.000000,top
R3,2K,R_0603_1608Metric,102.996962,55.372027,-90.000000,top
R4,2K,R_0603_1608Metric,92.709962,55.372027,-90.000000,top
R5,2K,R_0603_1608Metric,98.043962,55.372027,-90.000000,top
R6,10K,R_0603_1608Metric,93.167162,61.087027,90.000000,top
R7,10K,R_0603_1608Metric,96.672362,61.086927,90.000000,top
R8,2K,RES-ADJ-SMD_G43BT,99.694962,38.100027,0.000000,top
R9,2K,R_0603_1608Metric,89.661962,61.087027,-90.000000,top
R10,2K,R_0603_1608Metric,100.177562,61.087027,-90.000000,top
SW1,Reset,SW_Push_1P1T_NO_6x6mm_H9.5mm,96.900962,83.693027,180.000000,top
SW2,Keyboard ID,Dip SW lateral 4,55.035062,38.334427,0.000000,top
U1,L7805,TO-220-3_Vertical,94.527262,72.775527,0.000000,top
